PART 1-A FINAL CONDITIONS

Battleship: U - USS Iowa (BB-61)
Status: DESTROYED

Escort ships destroyed by B: 12
E that sank B: E29

Escort final states:
E1 E_D - ALIVE
E2 E_D - ALIVE
E3 E_A - ALIVE
E4 E_E - ALIVE
E5 E_C - ALIVE
E6 E_D - ALIVE
E7 E_C - ALIVE
E8 E_D - ALIVE
E9 E_C - ALIVE
E10 E_C - DESTROYED
E11 E_D - ALIVE
E12 E_A - DESTROYED
E13 E_E - DESTROYED
E14 E_C - ALIVE
E15 E_A - DESTROYED
E16 E_D - ALIVE
E17 E_B - ALIVE
E18 E_C - ALIVE
E19 E_B - ALIVE
E20 E_D - ALIVE
E21 E_C - DESTROYED
E22 E_C - ALIVE
E23 E_E - ALIVE
E24 E_C - ALIVE
E25 E_C - ALIVE
E26 E_D - ALIVE
E27 E_C - DESTROYED
E28 E_B - ALIVE
E29 E_A - ALIVE
E30 E_E - ALIVE
E31 E_A - DESTROYED
E32 E_E - ALIVE
E33 E_A - ALIVE
E34 E_E - ALIVE
E35 E_C - ALIVE
E36 E_B - ALIVE
E37 E_C - ALIVE
E38 E_A - DESTROYED
E39 E_D - ALIVE
E40 E_B - ALIVE
E41 E_A - ALIVE
E42 E_B - DESTROYED
E43 E_C - DESTROYED
E44 E_C - ALIVE
E45 E_D - ALIVE
E46 E_B - DESTROYED
E47 E_C - ALIVE
E48 E_E - ALIVE
E49 E_E - ALIVE
E50 E_C - DESTROYED
E51 E_D - ALIVE
