PART 1-A FINAL CONDITIONS

Battleship: U - USS Iowa (BB-61)
Status: DESTROYED

Escort ships destroyed by B: 14
E that sank B: E42

Escort final states:
E1 E_B - ALIVE
E2 E_D - ALIVE
E3 E_A - DESTROYED
E4 E_A - ALIVE
E5 E_C - ALIVE
E6 E_A - DESTROYED
E7 E_B - ALIVE
E8 E_C - ALIVE
E9 E_B - ALIVE
E10 E_E - ALIVE
E11 E_D - DESTROYED
E12 E_B - ALIVE
E13 E_E - ALIVE
E14 E_A - ALIVE
E15 E_D - ALIVE
E16 E_E - ALIVE
E17 E_B - ALIVE
E18 E_C - ALIVE
E19 E_A - ALIVE
E20 E_B - ALIVE
E21 E_A - ALIVE
E22 E_A - ALIVE
E23 E_C - ALIVE
E24 E_C - ALIVE
E25 E_B - ALIVE
E26 E_A - ALIVE
E27 E_A - DESTROYED
E28 E_B - DESTROYED
E29 E_A - ALIVE
E30 E_D - ALIVE
E31 E_B - DESTROYED
E32 E_C - DESTROYED
E33 E_A - ALIVE
E34 E_C - ALIVE
E35 E_B - DESTROYED
E36 E_C - ALIVE
E37 E_D - DESTROYED
E38 E_B - DESTROYED
E39 E_C - ALIVE
E40 E_C - DESTROYED
E41 E_E - ALIVE
E42 E_A - ALIVE
E43 E_D - DESTROYED
E44 E_E - ALIVE
E45 E_C - DESTROYED
E46 E_E - ALIVE
E47 E_B - ALIVE
E48 E_A - ALIVE
E49 E_C - ALIVE
E50 E_E - ALIVE
E51 E_C - ALIVE
E52 E_D - DESTROYED
E53 E_D - ALIVE
E54 E_C - ALIVE
E55 E_A - ALIVE
E56 E_E - ALIVE
