PART 1-A FINAL CONDITIONS

Battleship: U - USS Iowa (BB-61)
Status: DESTROYED

Escort ships destroyed by B: 80
E that sank B: E33

Escort final states:
E1 E_D - DESTROYED
E2 E_D - DESTROYED
E3 E_A - DESTROYED
E4 E_E - DESTROYED
E5 E_C - DESTROYED
E6 E_D - DESTROYED
E7 E_C - DESTROYED
E8 E_D - DESTROYED
E9 E_C - DESTROYED
E10 E_C - DESTROYED
E11 E_D - DESTROYED
E12 E_A - DESTROYED
E13 E_E - DESTROYED
E14 E_C - DESTROYED
E15 E_A - ALIVE
E16 E_D - DESTROYED
E17 E_B - DESTROYED
E18 E_C - DESTROYED
E19 E_B - DESTROYED
E20 E_D - DESTROYED
E21 E_C - DESTROYED
E22 E_C - DESTROYED
E23 E_E - DESTROYED
E24 E_C - DESTROYED
E25 E_C - DESTROYED
E26 E_D - DESTROYED
E27 E_C - DESTROYED
E28 E_B - DESTROYED
E29 E_A - DESTROYED
E30 E_E - DESTROYED
E31 E_A - DESTROYED
E32 E_E - ALIVE
E33 E_A - ALIVE
E34 E_E - DESTROYED
E35 E_C - ALIVE
E36 E_B - DESTROYED
E37 E_C - DESTROYED
E38 E_A - DESTROYED
E39 E_D - DESTROYED
E40 E_B - ALIVE
E41 E_A - DESTROYED
E42 E_B - DESTROYED
E43 E_C - DESTROYED
E44 E_C - ALIVE
E45 E_D - DESTROYED
E46 E_B - DESTROYED
E47 E_C - DESTROYED
E48 E_E - DESTROYED
E49 E_E - DESTROYED
E50 E_C - DESTROYED
E51 E_D - DESTROYED
E52 E_B - DESTROYED
E53 E_E - DESTROYED
E54 E_B - DESTROYED
E55 E_C - DESTROYED
E56 E_C - DESTROYED
E57 E_A - DESTROYED
E58 E_A - DESTROYED
E59 E_D - DESTROYED
E60 E_D - DESTROYED
E61 E_D - ALIVE
E62 E_D - DESTROYED
E63 E_E - DESTROYED
E64 E_D - DESTROYED
E65 E_D - ALIVE
E66 E_E - ALIVE
E67 E_E - DESTROYED
E68 E_B - DESTROYED
E69 E_D - DESTROYED
E70 E_E - DESTROYED
E71 E_C - DESTROYED
E72 E_D - DESTROYED
E73 E_D - DESTROYED
E74 E_E - DESTROYED
E75 E_E - DESTROYED
E76 E_D - DESTROYED
E77 E_B - DESTROYED
E78 E_B - DESTROYED
E79 E_E - DESTROYED
E80 E_B - DESTROYED
E81 E_A - DESTROYED
E82 E_D - DESTROYED
E83 E_A - DESTROYED
E84 E_D - DESTROYED
E85 E_C - DESTROYED
E86 E_A - DESTROYED
E87 E_A - DESTROYED
E88 E_E - DESTROYED
E89 E_C - DESTROYED
