NAVAL BATTLE SIMULATOR - SESSION SETTINGS

Random seed: 50
Battlefield size: 1000.00 x 1000.00
Battleship type: U
Battleship name: USS Iowa (BB-61)
Battleship Vmax: 50.00
Battleship position: (500.00, 500.00)
Escort ship count: 86

Escort setup values:
E1 E_D | position (894.32, 628.64) | Vmin 29.57 | Vmax 44.03 | angle 20.30-70.30 | impact 0.05
E2 E_E | position (15.64, 215.47) | Vmin 5.45 | Vmax 12.65 | angle 10.96-80.96 | impact 0.04
E3 E_E | position (15.12, 38.09) | Vmin 21.79 | Vmax 41.87 | angle 12.96-82.96 | impact 0.04
E4 E_B | position (91.64, 521.24) | Vmin 0.58 | Vmax 10.22 | angle 57.82-87.82 | impact 0.06
E5 E_E | position (384.03, 865.69) | Vmin 15.96 | Vmax 31.44 | angle 11.23-81.23 | impact 0.04
E6 E_C | position (664.86, 401.79) | Vmin 13.50 | Vmax 35.76 | angle 56.00-81.00 | impact 0.07
E7 E_A | position (276.56, 393.28) | Vmin 30.69 | Vmax 60.00 | angle 40.92-60.92 | impact 0.08
E8 E_A | position (507.74, 59.41) | Vmin 32.75 | Vmax 60.00 | angle 5.90-25.90 | impact 0.08
E9 E_B | position (521.61, 66.29) | Vmin 17.35 | Vmax 29.53 | angle 16.34-46.34 | impact 0.06
E10 E_B | position (743.65, 644.44) | Vmin 5.16 | Vmax 10.11 | angle 36.88-66.88 | impact 0.06
E11 E_C | position (788.76, 17.60) | Vmin 9.71 | Vmax 23.14 | angle 23.79-48.79 | impact 0.07
E12 E_B | position (222.57, 797.03) | Vmin 4.75 | Vmax 24.97 | angle 18.26-48.26 | impact 0.06
E13 E_A | position (10.56, 774.93) | Vmin 4.20 | Vmax 60.00 | angle 26.23-46.23 | impact 0.08
E14 E_D | position (357.97, 154.19) | Vmin 19.47 | Vmax 21.97 | angle 20.38-70.38 | impact 0.05
E15 E_D | position (11.80, 158.50) | Vmin 12.33 | Vmax 31.25 | angle 15.23-65.23 | impact 0.05
E16 E_B | position (166.38, 9.15) | Vmin 2.29 | Vmax 12.36 | angle 37.39-67.39 | impact 0.06
E17 E_B | position (603.37, 551.11) | Vmin 16.36 | Vmax 21.02 | angle 20.69-50.69 | impact 0.06
E18 E_A | position (590.71, 82.95) | Vmin 21.94 | Vmax 60.00 | angle 62.66-82.66 | impact 0.08
E19 E_E | position (425.44, 740.30) | Vmin 17.94 | Vmax 28.19 | angle 13.55-83.55 | impact 0.04
E20 E_E | position (465.82, 146.09) | Vmin 11.97 | Vmax 29.97 | angle 6.91-76.91 | impact 0.04
E21 E_C | position (18.85, 780.09) | Vmin 5.81 | Vmax 6.12 | angle 45.22-70.22 | impact 0.07
E22 E_A | position (213.13, 572.89) | Vmin 45.85 | Vmax 60.00 | angle 29.31-49.31 | impact 0.08
E23 E_E | position (699.48, 542.80) | Vmin 10.39 | Vmax 16.61 | angle 2.38-72.38 | impact 0.04
E24 E_A | position (655.83, 520.84) | Vmin 23.77 | Vmax 60.00 | angle 54.17-74.17 | impact 0.08
E25 E_A | position (124.10, 32.70) | Vmin 35.40 | Vmax 60.00 | angle 12.52-32.52 | impact 0.08
E26 E_C | position (140.31, 214.24) | Vmin 5.69 | Vmax 24.43 | angle 23.28-48.28 | impact 0.07
E27 E_B | position (997.39, 261.10) | Vmin 15.52 | Vmax 32.72 | angle 52.84-82.84 | impact 0.06
E28 E_E | position (992.18, 238.47) | Vmin 25.52 | Vmax 32.67 | angle 1.26-71.26 | impact 0.04
E29 E_D | position (981.84, 407.02) | Vmin 28.31 | Vmax 30.51 | angle 29.06-79.06 | impact 0.05
E30 E_C | position (33.81, 701.75) | Vmin 1.17 | Vmax 7.66 | angle 28.63-53.63 | impact 0.07
E31 E_C | position (245.30, 293.27) | Vmin 29.55 | Vmax 37.93 | angle 57.71-82.71 | impact 0.07
E32 E_C | position (181.47, 776.32) | Vmin 11.53 | Vmax 24.57 | angle 40.50-65.50 | impact 0.07
E33 E_A | position (369.96, 461.60) | Vmin 40.16 | Vmax 60.00 | angle 10.73-30.73 | impact 0.08
E34 E_D | position (642.89, 732.24) | Vmin 6.40 | Vmax 7.00 | angle 30.91-80.91 | impact 0.05
E35 E_B | position (977.78, 640.64) | Vmin 15.81 | Vmax 32.18 | angle 52.39-82.39 | impact 0.06
E36 E_D | position (832.49, 931.66) | Vmin 5.88 | Vmax 10.03 | angle 37.67-87.67 | impact 0.05
E37 E_E | position (904.68, 474.19) | Vmin 20.09 | Vmax 32.24 | angle 12.25-82.25 | impact 0.04
E38 E_E | position (150.43, 246.24) | Vmin 3.18 | Vmax 29.48 | angle 13.03-83.03 | impact 0.04
